nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-331.90595489216355,1097.9248005561126,20.626390744959394,-303.34005942355105,1089.1031800880994,58.05600570918531,-287.50119735898227,1084.960612174589,58.29380291049651,-272.8358791375716,1085.6217730157048,57.6406423514705,-350.28015548456443,1132.8052623383644,55.26273490945907,-365.1327528296869,1152.718231994789,54.8705308950738,-377.23001237045895,1167.5406607079872,54.7606021558631,-233.8972710351422,1136.830073691937,38.80221238903292,-380.8371273591354,1258.1794515463182,42.531654634671035,-290.33578913689473,1079.796867512673,-13.165055355104535,-348.1193222578728,1130.338143282499,-13.894001220578229,-86.30693916317117,1186.4402512671845,-114.88528022548624,-427.3432523333003,1310.6841936596347,-175.57667156194458,-134.41328245603174,1042.4337660851688,-374.4087223246948,-592.7160010800551,1202.4689164242045,-322.21908849653363,-325.46388295479954,835.1328961277661,-343.77025856744535,-701.916448721858,1106.0612812130237,-370.5373016209605,-382.1797933512453,803.3957225720569,-354.5173735267005,-763.9010983938717,1081.8140596389492,-387.36414954953227,-369.5947561012592,775.135454576415,-303.9112899603136,-769.7833757268594,1124.4253626414043,-403.1439158214485,-372.14079758573223,814.6294373583314,-307.9845617628953,-747.9409567919724,1156.094462854128,-410.47080009781513,-24.23456699882343,1076.8195283565897,-520.4636163202847,-216.5792489412078,1114.492688841712,-543.9828943047545,25.7673366587155,870.6752416959724,-648.6151876237271,-105.81881669890718,792.5823375186824,-593.5027867218605,28.304968669947147,674.3815844104249,-706.840154670858,-85.89688392489184,732.3817376189858,-777.7654085940019,42.789516034287026,662.0418225123829,-722.7508392810082,-77.49574623771679,742.6477775758331,-823.8889840202991,-21.748417974626534,605.6332266105861,-687.7294966282324,-101.80769455304804,684.0187182791171,-775.2566824544949
-333.5004916019139,1101.2103804542005,20.356800651584756,-306.2521712643384,1095.668239384202,57.71447706983835,-289.9882982667298,1091.5233961678794,58.38964249500524,-275.58135956442766,1093.740344267062,58.06862083416031,-351.7533247673618,1138.986875934824,55.16867671466264,-365.2060422168297,1158.181223189781,54.99250318035369,-375.7630022459606,1171.944630655551,55.04311048730841,-237.74696959607235,1149.8086599386825,42.012700007898886,-372.7223412125808,1248.7375251561466,43.10774641207348,-294.36221730127596,1091.3729754657202,-13.792528514890341,-345.9152401071962,1134.2659955057052,-13.80149449510176,-86.38718257977598,1188.9422423404467,-111.36198051905302,-428.7528788379838,1318.121244455521,-169.5128477436217,-125.14745831087434,1018.4425182262609,-368.43423435715016,-629.9793749885204,1279.948075317187,-341.5280178148208,-322.20235606522914,837.7608495642169,-341.9752838053854,-669.1345467377016,1076.029242151969,-365.1407575569786,-363.6942774112815,788.0951376170121,-347.6664009004113,-720.7268965496074,1044.732730180387,-381.8692564129011,-362.27735171382943,777.133407050518,-303.1871086058497,-717.811777970967,1068.8733787495767,-389.5902185436827,-364.7825745274676,817.9438946795028,-308.62394842096563,-695.862774115629,1096.051874257333,-393.1959349072912,-31.615357473426705,1095.3796800143548,-502.54463451232886,-220.37785698819414,1135.7192467882983,-524.014762129714,34.42381879414981,837.4100722994184,-562.1455643909104,-105.56646027646875,738.6801173756794,-485.5997304693892,21.08995742845276,608.264707029813,-592.5428507091495,-79.12505096637099,653.4689690301105,-643.384252553446,31.364677376824346,589.5613310688311,-601.3270426933279,-69.18784169337788,657.4771159209648,-679.1479258454032,-31.58152613511609,555.6732504019903,-585.4897526554151,-98.68391695885262,623.036674142273,-662.5052004474858
-330.8269662388734,1097.1661490568204,20.40667618938436,-303.56288571830675,1093.4056030838512,57.25227025386457,-287.19272793147104,1090.1073075373158,58.11110881316068,-273.04620485771585,1093.8843102901194,58.053275025006144,-348.6980781064154,1136.981284085871,55.05020396672725,-362.01283219826684,1156.7326235001376,55.02458911387062,-371.83122216232164,1170.0289861953893,55.227743954070675,-237.88475494815054,1154.876298079035,44.4800403331325,-366.21805319754407,1238.629946379935,43.985456493867275,-294.35336904984524,1094.604624432835,-13.745231908403092,-341.3428669609944,1132.0681026636473,-13.03079461336599,-85.38621065335613,1187.0479222453162,-107.40050647329282,-429.48875558499304,1323.2628446620406,-164.62160371557096,-112.31058776913271,983.1307420124058,-354.172613767619,-656.0543637837914,1336.5290797083399,-356.6447498251287,-302.70181142209185,814.9261832617526,-331.758711267333,-649.4473842933079,1049.6552656536392,-359.19780772569163,-337.4811504129064,759.407731996607,-332.3520406354161,-691.0257065684616,1008.5049730143368,-372.0184603049832,-341.14712693398496,757.9542487281096,-292.7551853587341,-685.6553507109511,1023.0156873811128,-374.48363993669534,-340.1118758278581,795.0708967810216,-298.27700943623057,-664.701125213255,1049.1387208400781,-377.05797466285355,-36.791984678368586,1104.3777513231908,-498.333731368086,-225.58395178402202,1152.02124069265,-520.410287172525,38.423969469743284,822.2695079929233,-514.2577770395874,-105.91264602703521,708.7824089687069,-425.4314801920382,18.051573677201183,545.630118521505,-501.9327466449134,-72.46225242527936,596.4091278860252,-556.1164917827313,25.829551800364083,521.687537669481,-504.0506910737251,-62.386683776148324,596.9278879327339,-585.9117210050858,-32.05520185064565,496.1721244839531,-492.8875776774174,-91.08687819404405,569.6652336788588,-578.0207312404499
-321.97129355432793,1084.4438845056764,22.02399638119931,-293.88295013928797,1080.948000009717,57.65561796891992,-277.87428111294525,1079.1177517133412,58.378871420021525,-263.5373979293688,1083.2095396935558,58.37920096475022,-339.3273449205846,1124.9041128554993,55.96340243327076,-353.53772263833895,1146.1279979530373,56.01824532317559,-363.960996912511,1160.384005179758,56.33895832937138,-232.40591659591902,1148.986227625204,46.57675189133863,-361.2676804820031,1229.0113376085974,45.811931967763215,-289.4642316281748,1089.213745823204,-11.829435412690607,-334.02238384494893,1124.0627244804612,-10.621195246216127,-83.4730876974075,1179.8172318900104,-103.08608428888864,-428.99787433819154,1327.133651820026,-160.86372522224244,-95.82304837125903,941.5217664746939,-334.74926248251893,-655.7978664271017,1351.6787952800462,-361.33273436600183,-267.94121408026496,770.4418833742933,-314.12607694816944,-667.145780936714,1069.8676738589904,-363.5658034216684,-301.7997173313121,717.1136462301043,-308.99127164410487,-708.481501185727,1024.918058551314,-372.9639961574554,-306.1490885465402,719.5256790961895,-273.8976030367339,-706.505801453228,1039.6501862839214,-372.4373412723676,-300.8677493839273,750.5086245885636,-278.88493720090776,-686.4732928003077,1067.6216009420275,-376.3352573801197,-39.62066154394085,1103.4252715466882,-505.4607712984828,-231.35184343149209,1162.5463983710229,-531.8642343721104,37.2693160726665,823.8858772299011,-509.7693141743026,-107.19206809640217,707.9394973210356,-420.2565033802872,19.21962501516225,505.3125016969658,-457.85130305347184,-68.66327600664175,569.8259241880916,-528.7969888413212,26.820226453195804,478.7709336661213,-455.90264212146394,-59.52758712238878,568.0809471451543,-555.8897517318471,-24.93816929095984,447.2359416818078,-435.963130081876,-82.89197394720112,536.2597559498756,-539.7513134524116
-309.89869499450043,1072.26068896884,27.14696968000325,-281.7277003528318,1068.5575813130863,61.06334491890801,-266.45901749729535,1067.722056634348,61.46858972890005,-251.24560844524632,1070.012908764021,61.23259365894327,-326.5338332937353,1111.6612715465387,60.06285929644986,-341.2928060579426,1133.6111495247671,60.17188789938663,-353.20453696507656,1150.006226163469,60.545443171253126,-223.24573578823376,1139.706480491772,50.10719865397008,-356.2601302983103,1224.481544431642,49.96663895964319,-282.51080004146246,1083.9651745502667,-6.395157782812334,-325.82780530827176,1117.7923078903123,-5.179492402945888,-81.22287014503841,1173.6943472799478,-98.92976552014804,-426.016780694805,1331.019174220038,-156.9283123130213,-76.42250999655964,908.7815028583159,-319.10142663274746,-621.7918200394428,1318.520602817725,-351.21550253805486,-232.46888987049755,735.4792439435265,-298.43795783192377,-722.5093168025506,1156.1765151669688,-382.54614458011673,-263.0982721504507,679.8647384063726,-286.73885474172545,-780.4981364453458,1124.4183572015545,-395.9295828914572,-269.1874978979607,687.322644814001,-257.1049152582641,-783.258095784435,1143.681553959408,-392.7429668068719,-263.2190524843958,714.8662195354067,-262.1859457761877,-760.8029219248943,1171.9509777882488,-397.44005791495425,-40.2365202009459,1098.613700271366,-510.3093986268302,-233.80829423800708,1166.0876406925827,-542.1987079268087,34.9738848031285,825.9650253167318,-525.6670305318007,-106.77245473938339,720.3163910000209,-441.4613202697254,22.87135856476285,510.25610141349125,-472.8150783365698,-68.41851968004308,568.0581819933858,-541.3207912158489,31.850457519053073,484.92545716351515,-471.6209299746553,-60.422445869502894,563.5535409479271,-566.2866450750637,-17.12550777275555,444.6677350942208,-443.54073694776923,-78.55854074692886,530.6553034015849,-545.9738773155767
-299.484810558649,1071.4191257970547,36.262225826468764,-272.61521405984007,1067.8165765440049,68.53970497632129,-257.9007910149288,1066.3817229278982,68.64710774717847,-241.87000315296964,1066.2774266462113,68.02752602039524,-315.1320634748162,1108.7702959619937,68.31571529152103,-329.34756376517123,1129.873831925316,68.47830066110834,-342.3039073727006,1147.8466372696307,68.82140888669593,-213.8611226323346,1137.7169936337064,56.556447519322454,-349.2645952149121,1227.9540909413613,57.21525857280275,-275.50770475596045,1085.044068646161,2.9980290685769564,-318.0947114527621,1118.953584416533,3.779894642366313,-77.71697701874531,1177.2041129241163,-95.11175659311164,-416.8773949885205,1327.9359470532663,-151.17735789256037,-53.512729338061845,894.198790156204,-310.63040394395074,-563.9902649211814,1249.930843691816,-328.63118355648976,-206.19061610169229,732.5920313053596,-291.1150084939108,-747.4763447546898,1211.4498061057066,-388.79020588567084,-230.6170138135206,668.2839163353725,-273.4763682394134,-824.0000700070035,1202.07456254148,-410.73921047948755,-240.41423140204677,682.5063632270892,-249.39226635119635,-831.0098617993618,1223.4823233473187,-405.456312514893,-236.29517662199788,709.4785510407806,-255.15723218588045,-801.5837217358164,1246.289746833342,-408.06341054381437,-37.520828705807446,1095.6153171259043,-505.36649917769785,-228.94373200150034,1157.7409597839703,-538.0602587501987,35.962524079885256,821.7834086294099,-543.8914565158644,-101.96205865327839,732.666184952206,-464.36049042722533,27.375520017539344,569.1530016545585,-542.7542787854586,-68.46733166418028,586.1240133776678,-572.3827637103906,37.67225331189076,549.9255651294432,-548.2419167553112,-62.19240527628578,581.8019156770732,-597.9937001270666,-12.949014390499842,506.5501730218083,-522.378417063175,-74.86803821522705,549.543330346315,-579.5461841063052
-290.9831401579387,1078.9553884644888,46.79754291430572,-266.0929703119937,1075.685878986245,77.94669470069472,-250.90665962923248,1071.7363756023553,77.90097028457102,-235.08317659580672,1071.0592010005212,77.064063765944,-305.94747768434115,1114.853459250984,78.31258256579713,-319.1110022571078,1134.3699907495459,78.48850592695202,-331.86751300270714,1152.016293001185,78.70596493599633,-204.18696269581207,1140.9406327084846,64.86246271973795,-338.7706374640078,1232.6143925445472,65.78045734703382,-266.0550610614897,1086.3255612157122,13.975406557127314,-308.9541976010005,1122.3858296095245,14.215057621463094,-70.8339437749743,1188.5547882847825,-91.09782469528513,-397.09386400880044,1304.6273841246864,-142.68767952915377,-28.850049095933453,895.2186879258104,-306.3472802912174,-499.3179512274148,1164.4127771315916,-300.7601224903396,-185.50998450655663,748.4469881358717,-288.4300880068735,-658.3871646664497,1096.6742402505895,-346.24190993229126,-207.77728166598743,679.688856264546,-267.81913441894835,-728.277509304272,1095.8864886889744,-370.1211101675212,-219.72504693138418,697.1046085005116,-247.0795468934516,-739.8614963096073,1112.7818542082528,-364.73944331495886,-216.29656929940995,723.7425050512866,-253.4350898270219,-703.6395553222804,1125.5568234105306,-362.9369216294508,-31.493672298617305,1098.3696013619867,-496.2326985076618,-217.83845246794192,1137.3853286550875,-521.3601252126992,39.367830593534514,827.7137112720047,-569.289172720691,-98.43081005118084,758.7731902593603,-496.03394361599226,29.922591169236117,669.8252729808587,-649.4387154832413,-70.03516710161175,633.3622177153125,-624.9619768703127,40.2391305538919,662.0463564491479,-667.268568595463,-66.72271106539272,636.0800569304163,-657.8745705488651,-14.512497258205117,616.4424835241637,-648.1272881719212,-69.95195807630452,590.4258712512018,-630.5439180505889
-281.05073374912484,1083.6648282858266,55.507483720903416,-257.6281660628373,1080.4557630914585,86.12001233384764,-240.9630014923252,1073.2955244557834,86.06954579107303,-226.05930800956813,1073.7962630723657,85.29906139022104,-295.7745664977034,1118.6335876595313,86.56133879640586,-307.97573147372924,1136.4735986162761,86.64050594537152,-319.69185843215905,1152.218414139632,86.65798959962318,-191.78870160214305,1138.8289776375905,72.51890897075448,-324.4912906147426,1228.323743198646,73.03665952178788,-251.91555010380358,1080.9553955155206,23.20734024424598,-296.0087071493817,1119.8618039963935,23.200876140992314,-60.01264783946431,1197.1652601293392,-86.43039459004513,-368.1215881060031,1262.0902692123252,-131.8804321761195,-8.313592918489096,905.4105417991948,-303.85643881319584,-437.9618143252972,1076.7908245778033,-274.2811623566507,-163.10046474262697,756.6138607446325,-284.434076231401,-478.77717307858967,837.241882631626,-266.383843755483,-191.34757838833912,694.9187942735246,-264.6481468619397,-514.5425186900268,821.339761383617,-281.0565458923707,-202.0411496630582,709.8085943359241,-244.20048704738574,-530.5526793487264,829.2230862561833,-277.1968965057506,-197.36773416012088,735.7133857655572,-250.7921586994688,-494.28400054727604,833.2492609598837,-271.62097173942647,-25.32032598616491,1111.3094582681558,-493.1240480444153,-208.66808463338302,1121.7886600095367,-507.0089364970005,38.71787073252747,865.6275265519444,-615.6617678571204,-108.47015538531797,826.198855642419,-561.918343047443,30.241870237392263,777.8835927564216,-761.9588973036033,-83.00274321115265,724.263574028528,-718.0823658417066,39.77007066696206,783.049861382421,-793.6403169312315,-82.48241224038287,736.7666078491866,-762.0067896127937,-16.929696570228764,725.4640019171123,-771.6663144201136,-73.83989433801135,662.8668669327551,-710.9756749168857
-269.99342369223666,1086.2509793765191,62.381889307076015,-246.82280704003378,1082.8132126375149,93.04313823850595,-229.03068607481643,1074.0372737939829,93.06889243611718,-214.4046630307253,1074.8943374499645,92.40887909938198,-283.8762806622943,1119.007562567818,93.04436095726057,-294.98020038887614,1134.6164305334391,92.9425567028376,-305.56958309251604,1148.012590618937,92.79754635476824,-177.79663582322337,1132.6123915925627,79.01561151029904,-308.67480738894295,1218.979309497844,79.45689696499481,-236.74081568546686,1076.7576576179868,30.134878766392053,-281.29134101991826,1115.6080089406764,30.524179184938518,-47.47935829259631,1200.243736737161,-81.58203674644672,-340.1415529148282,1225.9098938771695,-120.47730703998926,4.306164591037048,925.170202939915,-304.87922714499734,-384.9777571721473,1005.4153701639947,-253.93364648814457,-139.31401817996667,756.8050019489937,-281.5128881972592,-335.8498683184274,631.7095962756641,-206.0273648710879,-177.76027357410135,708.5889781256278,-265.08748554351604,-337.3216693971055,587.9196076993398,-206.85804370054453,-185.55805846068156,718.7343231131289,-242.90399755636832,-356.40082872685986,591.415932269456,-204.60092267130517,-178.93686689034166,743.2348485720063,-249.01306593125923,-326.4440210124297,590.2900692616962,-198.04847658389664,-22.66903507941928,1138.7193792579312,-500.5155798385438,-211.02693838760698,1137.9735493828105,-509.88168860264574,29.714976207139834,934.7305336854527,-681.1221380480738,-137.62954874543044,937.6332507541656,-667.4789083993445,31.87312854617412,856.3656609383776,-849.220632701452,-112.85362898959845,852.1282706299436,-850.6104718820502,41.67376319962516,868.4937966803078,-888.9989266060751,-112.0786695299403,868.0698832069075,-900.61486288196,-10.966793067710201,788.4345359781064,-850.5753655995271,-97.28366322948088,771.5046402579668,-829.5404333647061
-261.3720418890053,1097.044993974124,69.9298876026722,-237.59738306516002,1093.840861935463,101.14146313429049,-220.27520587149232,1086.3115327706425,101.24077543968848,-204.87599278506704,1085.3976307146168,100.46553109837257,-273.38428395314963,1126.5586129317282,100.7274661808681,-283.2266067173952,1139.6485156996293,100.55746465367335,-292.9012226192419,1151.1579691012155,100.45361852111816,-166.28496378069337,1134.165197269687,85.99759475700077,-294.80860760994136,1220.3197163341147,87.98384276502077,-225.67660410756332,1085.2153892436954,36.8913192331162,-269.57758505519854,1121.714545395763,38.4530410559377,-35.883927868148554,1205.6739185781382,-77.37970581241166,-322.4709009881966,1219.5601459378802,-110.51388785472126,12.931001580751746,956.3074163977288,-310.7852820629495,-345.3935975557289,969.6907704191611,-243.2648474465973,-118.58129593815251,766.4614629029758,-285.40862116265055,-304.11038144202956,604.9539981902864,-197.04834448746342,-164.20212193486705,728.3226359170449,-273.3886360475713,-291.037047768056,532.5846009626819,-185.84891083795344,-170.46720079983047,736.0268812320219,-248.90970366959831,-311.69770066287236,541.871126218756,-184.5841954270174,-161.40789890369103,756.5912431920699,-253.21358689829924,-287.7848949401712,536.3164613090455,-179.43272086881024,-23.98104963903299,1178.3307235462514,-514.6148026497655,-225.06606323083727,1191.116421632589,-529.7012195502091,13.816490404299344,1014.289105838752,-745.893357953697,-181.5296841025954,1066.366668769191,-780.792998128034,26.73242088659681,916.8282936377831,-915.2663582936253,-147.68815343619363,978.0593927600776,-976.9065427497683,39.09754153398242,927.808614556803,-955.5085895659973,-142.69627069173941,988.59345988543,-1024.1064103286574,-13.943168985868796,834.5128076610658,-906.4397124888189,-132.63002201008266,888.8690911695694,-951.7490425783125
